Date,Open,High,Low,Close,Volume
26-Sep-01,1012.27,1020.29,1002.62,1007.04,15191000
25-Sep-01,1003.45,1017.14,998.33,1012.27,16138000
24-Sep-01,965.80,1008.44,965.80,1003.45,17466000
21-Sep-01,984.54,984.54,944.75,965.80,23173000
20-Sep-01,1016.10,1016.10,984.49,984.54,20048000
19-Sep-01,1032.74,1038.91,984.62,1016.10,21205500
18-Sep-01,1038.77,1046.42,1029.25,1032.74,16504100
17-Sep-01,1092.54,1092.54,1037.46,1038.77,23308300
10-Sep-01,1085.78,1096.94,1073.15,1092.54,12766000
7-Sep-01,1106.40,1106.40,1082.12,1085.78,14243000
6-Sep-01,1131.74,1131.74,1105.83,1106.40,13597000
5-Sep-01,1132.94,1135.52,1114.86,1131.74,13845000
4-Sep-01,1133.58,1155.40,1129.06,1132.94,11783000
31-Aug-01,1129.03,1141.83,1126.38,1133.58,9201000
30-Aug-01,1148.60,1151.75,1124.87,1129.03,11570000
29-Aug-01,1161.51,1166.97,1147.38,1148.56,9637000
28-Aug-01,1179.21,1179.66,1161.17,1161.51,9871000
27-Aug-01,1184.93,1186.85,1178.07,1179.21,8426000
24-Aug-01,1162.09,1185.15,1162.09,1184.93,10436000
23-Aug-01,1165.31,1169.86,1160.96,1162.09,9862000
22-Aug-01,1157.26,1168.56,1153.34,1165.31,11108000
21-Aug-01,1171.41,1179.85,1156.56,1157.26,10416000
20-Aug-01,1161.97,1171.41,1160.94,1171.41,8971000
17-Aug-01,1181.66,1181.66,1156.07,1161.97,9743000
16-Aug-01,1178.02,1181.80,1166.08,1181.66,10554000
15-Aug-01,1186.73,1191.21,1177.61,1178.02,10656000
14-Aug-01,1191.29,1198.79,1184.26,1186.73,9646000
13-Aug-01,1190.16,1193.82,1185.12,1191.29,8376000
10-Aug-01,1183.43,1193.33,1169.55,1190.16,9609000
9-Aug-01,1183.53,1184.71,1174.68,1183.43,11042000
8-Aug-01,1204.40,1206.79,1181.27,1183.53,11246000
7-Aug-01,1200.47,1207.56,1195.64,1204.40,10120000
6-Aug-01,1214.35,1214.35,1197.35,1200.48,8117000
3-Aug-01,1220.75,1220.75,1205.31,1214.35,9399000
2-Aug-01,1215.93,1226.27,1215.31,1220.75,12183000
1-Aug-01,1211.23,1223.04,1211.23,1215.93,13403000
31-Jul-01,1204.52,1222.74,1204.52,1211.23,11292000
30-Jul-01,1205.82,1209.05,1200.41,1204.52,9091000
27-Jul-01,1202.93,1209.26,1195.99,1205.82,10153000
26-Jul-01,1190.49,1204.18,1182.65,1202.93,12139000
25-Jul-01,1171.65,1190.52,1171.28,1190.49,12807000
24-Jul-01,1191.03,1191.03,1165.54,1171.65,11987000
23-Jul-01,1210.85,1215.22,1190.50,1191.03,9869000
20-Jul-01,1215.02,1215.69,1207.04,1210.85,11709000
19-Jul-01,1207.71,1225.04,1205.80,1215.02,13435000
18-Jul-01,1214.44,1214.44,1198.33,1207.71,13163000
17-Jul-01,1202.45,1215.36,1196.14,1214.44,12381000
16-Jul-01,1215.68,1219.63,1200.05,1202.45,10398000
13-Jul-01,1208.14,1218.54,1203.61,1215.68,11217000
12-Jul-01,1180.18,1210.25,1180.18,1208.14,13940000
11-Jul-01,1181.52,1184.93,1168.46,1180.18,13841000
10-Jul-01,1198.78,1203.43,1179.93,1181.52,12638000
9-Jul-01,1190.59,1201.76,1189.75,1198.78,10457000
6-Jul-01,1219.24,1219.24,1188.74,1190.59,10567000
5-Jul-01,1234.45,1234.45,1219.15,1219.24,9349000
3-Jul-01,1236.71,1236.71,1229.43,1234.45,6221100
2-Jul-01,1224.42,1239.78,1224.03,1236.72,11283000
29-Jun-01,1226.20,1237.29,1221.14,1224.38,18323600
28-Jun-01,1211.07,1234.44,1211.07,1226.20,13273000
27-Jun-01,1216.76,1219.92,1207.29,1211.07,11621000
26-Jun-01,1218.60,1220.70,1204.64,1216.76,11989000
25-Jun-01,1225.35,1231.50,1213.60,1218.60,10501000
22-Jun-01,1237.04,1237.73,1221.41,1225.35,11892000
21-Jun-01,1223.14,1240.24,1220.25,1237.04,15468200
20-Jun-01,1212.58,1225.61,1210.07,1223.14,13501000
19-Jun-01,1208.43,1226.11,1207.71,1212.58,11849000
18-Jun-01,1214.36,1221.23,1208.33,1208.43,11116000
15-Jun-01,1219.87,1221.50,1203.03,1214.36,16355500
14-Jun-01,1241.60,1241.60,1218.90,1219.87,12429000
13-Jun-01,1255.85,1259.75,1241.59,1241.60,10636000
12-Jun-01,1254.39,1261.00,1235.75,1255.85,11365000
11-Jun-01,1264.96,1264.96,1249.23,1254.39,8701000
8-Jun-01,1276.96,1277.11,1259.99,1264.96,7262000
7-Jun-01,1270.03,1277.08,1265.08,1276.96,10896000
6-Jun-01,1283.57,1283.85,1269.01,1270.03,10619000
